Category;Fuel;Segment;Annee;Euro.Standard;Technology;Part;RedNOxEuro6;M_carros;M_moteur_ICE;M_moteur_Elec;M_batterie;DV_veh;DV_batterie
Passenger Cars;Petrol;Mini;1993;Euro 1;;0,0001;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;1994;Euro 1;;0,0003;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;1995;Euro 1;;0,0001;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;1996;Euro 1;;0,0001;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;1997;Euro 2;;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;1998;Euro 2;;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;1999;Euro 2;;0,0005;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2000;Euro 2;;0,0003;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2001;Euro 3;GDI;0,0002;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2001;Euro 3;PFI;0,0002;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2002;Euro 3;GDI;0,0001;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2002;Euro 3;PFI;0,0001;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2003;Euro 3;GDI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2003;Euro 3;PFI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2004;Euro 3;GDI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2004;Euro 3;PFI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2005;Euro 3;GDI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2005;Euro 3;PFI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2006;Euro 4;GDI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2006;Euro 4;PFI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2007;Euro 4;GDI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2007;Euro 4;PFI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2008;Euro 4;GDI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2008;Euro 4;PFI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2009;Euro 4;GDI;0,0001;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2009;Euro 4;PFI;0,0001;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2010;Euro 4;GDI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2010;Euro 4;PFI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2011;Euro 5;GDI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2011;Euro 5;PFI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2012;Euro 5;GDI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2012;Euro 5;PFI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2013;Euro 5;GDI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2013;Euro 5;PFI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2014;Euro 5;GDI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2014;Euro 5;PFI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2015;Euro 6b;GDI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2015;Euro 6b;PFI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2015;Euro 6b;GDI+GPF;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2016;Euro 6b;GDI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2016;Euro 6b;PFI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2016;Euro 6b;GDI+GPF;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2017;Euro 6b;GDI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2017;Euro 6b;PFI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2017;Euro 6b;GDI+GPF;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2018;Euro 6c;GDI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2018;Euro 6c;PFI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2018;Euro 6c;GDI+GPF;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2019;Euro 6c;GDI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2019;Euro 6c;PFI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2019;Euro 6c;GDI+GPF;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2020;Euro 6c;GDI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2020;Euro 6c;PFI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2020;Euro 6c;GDI+GPF;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2021;Euro 6d;GDI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2021;Euro 6d;PFI;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Mini;2021;Euro 6d;GDI+GPF;0;0;700;300;0;0;150000;100000
Passenger Cars;Petrol;Small;1993;Euro 1;;0,016;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;1994;Euro 1;;0,0054;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;1995;Euro 1;;0,0067;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;1996;Euro 1;;0,0101;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;1997;Euro 2;;0,0066;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;1998;Euro 2;;0,0113;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;1999;Euro 2;;0,0128;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2000;Euro 2;;0,0171;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2001;Euro 3;GDI;0,0069;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2001;Euro 3;PFI;0,0069;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2002;Euro 3;GDI;0,0061;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2002;Euro 3;PFI;0,0061;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2003;Euro 3;GDI;0,0053;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2003;Euro 3;PFI;0,0053;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2004;Euro 3;GDI;0,0067;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2004;Euro 3;PFI;0,0067;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2005;Euro 3;GDI;0,0064;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2005;Euro 3;PFI;0,0064;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2006;Euro 4;GDI;0,0062;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2006;Euro 4;PFI;0,0062;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2007;Euro 4;GDI;0,0058;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2007;Euro 4;PFI;0,0058;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2008;Euro 4;GDI;0,0063;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2008;Euro 4;PFI;0,0063;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2009;Euro 4;GDI;0,0083;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2009;Euro 4;PFI;0,0083;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2010;Euro 4;GDI;0,0047;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2010;Euro 4;PFI;0,0047;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2011;Euro 5;GDI;0,0008;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2011;Euro 5;PFI;0,0008;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2012;Euro 5;GDI;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2012;Euro 5;PFI;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2013;Euro 5;GDI;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2013;Euro 5;PFI;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2014;Euro 5;GDI;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2014;Euro 5;PFI;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2015;Euro 6b;GDI;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2015;Euro 6b;PFI;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2015;Euro 6b;GDI+GPF;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2016;Euro 6b;GDI;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2016;Euro 6b;PFI;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2016;Euro 6b;GDI+GPF;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2017;Euro 6b;GDI;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2017;Euro 6b;PFI;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2017;Euro 6b;GDI+GPF;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2018;Euro 6c;GDI;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2018;Euro 6c;PFI;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2018;Euro 6c;GDI+GPF;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2019;Euro 6c;GDI;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2019;Euro 6c;PFI;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2019;Euro 6c;GDI+GPF;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2020;Euro 6c;GDI;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2020;Euro 6c;PFI;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2020;Euro 6c;GDI+GPF;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2021;Euro 6d;GDI;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2021;Euro 6d;PFI;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Small;2021;Euro 6d;GDI+GPF;0;0;840;360;0;0;150000;100000
Passenger Cars;Petrol;Medium;1993;Euro 1;;0,0093;0;980;420;0;0;150000;100000
Passenger Cars;Petrol;Medium;1994;Euro 1;;0,0018;0;980;420;0;0;150000;100000
Passenger Cars;Petrol;Medium;1995;Euro 1;;0,0023;0;980;420;0;0;150000;100000
Passenger Cars;Petrol;Medium;1996;Euro 1;;0,0041;0;980;420;0;0;150000;100000
Passenger Cars;Petrol;Medium;1997;Euro 2;;0,005;0;980;420;0;0;150000;100000
Passenger Cars;Petrol;Medium;1998;Euro 2;;0,0061;0;980;420;0;0;150000;100000
Passenger Cars;Petrol;Medium;1999;Euro 2;;0,0094;0;980;420;0;0;150000;100000
