vit;acc
5;0,248359304
6;0,246872205
7;0,245387587
8;0,24390545
9;0,242425792
10;0,240948615
11;0,239473918
12;0,238001702
13;0,236531965
14;0,235064709
15;0,233599934
16;0,232137638
17;0,230677823
18;0,229220489
19;0,227765634
20;0,22631326
21;0,224863366
22;0,223415953
23;0,221971019
24;0,220528566
25;0,219088594
26;0,217651101
27;0,216216089
28;0,214783558
29;0,213353506
30;0,211925935
31;0,210500844
32;0,209078234
33;0,207658103
34;0,206240453
35;0,204825284
36;0,203412594
37;0,202002385
38;0,200594657
39;0,199189408
40;0,19778664
41;0,196386352
42;0,194988545
43;0,193593217
44;0,19220037
45;0,190810004
46;0,189422117
47;0,188036711
48;0,186653786
49;0,18527334
50;0,183895375
51;0,18251989
52;0,181146886
53;0,179776361
54;0,178408317
55;0,177042754
56;0,17567967
57;0,174319067
58;0,172960945
59;0,171605302
60;0,17025214
61;0,168901458
62;0,167553257
63;0,166207535
64;0,164864294
65;0,163523534
66;0,162185253
67;0,160849453
68;0,159516134
69;0,158185294
70;0,156856935
71;0,155531056
72;0,154207658
73;0,152886739
74;0,151568301
75;0,150252344
76;0,148938866
77;0,147627869
78;0,146319353
79;0,145013316
80;0,14370976
81;0,142408684
82;0,141110089
83;0,139813973
84;0,138520338
85;0,137229184
86;0,135940509
87;0,134654315
88;0,133370602
89;0,132089368
90;0,130810615
91;0,129534342
92;0,12826055
93;0,126989237
94;0,125720405
95;0,124454054
96;0,123190182
97;0,121928791
98;0,120669881
99;0,11941345
100;0,1181595
101;0,11690803
102;0,115659041
103;0,114412531
104;0,113168502
105;0,111926954
106;0,110687885
107;0,109451297
108;0,10821719
109;0,106985562
110;0,105756415
111;0,104529748
112;0,103305562
113;0,102083855
114;0,100864629
115;0,099647884
116;0,098433618
117;0,097221833
118;0,096012529
119;0,094805704
120;0,09360136
121;0,092399496
122;0,091200113
123;0,090003209
124;0,088808786
125;0,087616844
126;0,086427381
127;0,085240399
128;0,084055898
129;0,082873876
130;0,081694335
